locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
632078,Scotch Bonnet,Truck,101000,01ST ST: STEVENSON ST to JESSIE ST (21 - 56),50 01ST ST,3708055,3708,55,15MFF-0073,APPROVED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6013063.33,2115738.283,37.79014907,-122.3986582,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0073&ExportPDF=1&Filename=15MFF-0073_schedule.pdf,,6/19/15 16:12,Mar 16 2015 12:33PM,0,3/15/16 0:00,"(37.7901490874965, -122.398658184594)"
630926,Mini Mobile Food Catering,Truck,110000,01ST ST: CLEMENTINA ST to FOLSOM ST (245 - 299),245 01ST ST,3737012,3737,12,15MFF-0058,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014220.898,2114895.75,37.7879001,-122.394594,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0058&ExportPDF=1&Filename=15MFF-0058_schedule.pdf,,3/12/15 14:30,Mar 12 2015  2:24PM,1,3/15/16 0:00,"(37.7879001115912, -122.394594036195)"
631766,Steve's Mobile Deli,Truck,113000,01ST ST: LANSING ST to HARRISON ST \ I-80 E ON RAMP (362 - 399),390 01ST ST,3749058,3749,58,15MFF-0064,APPROVED,Cold Truck: Pre-packaged sandwiches: Burgers: Hot Dogs: Muffin Sandwiches: Enchiladas: Bagels: Burritos: Salads: Snacks: Beverages,6014531.475,2114230.765,37.78609146,-122.3934729,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0064&ExportPDF=1&Filename=15MFF-0064_schedule.pdf,,3/13/15 13:40,Mar 13 2015  1:36PM,1,3/15/16 0:00,"(37.7860914772, -122.39347293179)"
627141,Senor Sisig,Truck,132000,02ND ST: MISSION ST to MINNA ST (100 - 130),120 02ND ST,3722002,3722,2,15MFF-0029,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates,6012781.49,2114784.339,37.78751406,-122.3995663,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0029&ExportPDF=1&Filename=15MFF-0029_schedule.pdf,,3/17/15 12:34,Mar  5 2015 11:39AM,0,3/15/16 0:00,"(37.7875140745116, -122.399566331419)"
632684,Quan Catering,Truck,135000,02ND ST: HOWARD ST to TEHAMA ST (200 - 227),222 02ND ST,3735063,3735,63,15MFF-0077,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013157.288,2114341.766,37.7863198,-122.3982351,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0077&ExportPDF=1&Filename=15MFF-0077_schedule.pdf,,3/17/15 7:45,Mar 16 2015  2:39PM,1,3/15/16 0:00,"(37.7863198120587, -122.398235074239)"
625746,Celtic Catering,Truck,138000,02ND ST: FOLSOM ST to DOW PL (300 - 353),611 FOLSOM ST,3750 087,3750,87,15MFF-0018,APPROVED,Eritrean & Irish Fusion Burgers: Irish Stew: Eritrean Stew:  Shepard's Pie: Beverages,6013638.205,2113844.023,37.78497989,-122.3965363,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0018&ExportPDF=1&Filename=15MFF-0018_schedule.pdf,,2/26/15 14:37,Feb 26 2015  2:29PM,0,3/15/16 0:00,"(37.7849799008494, -122.396536309744)"
629199,Linda's Catering,Truck,142000,02ND ST: BRYANT ST to TABER PL (500 - 518),501 02ND ST,3774067,3774,67,15MFF-0047,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,6014675.196,2113164.273,37.7831711,-122.392901,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0047&ExportPDF=1&Filename=15MFF-0047_schedule.pdf,,5/1/15 15:45,Mar 10 2015  4:16PM,1,3/15/16 0:00,"(37.7831711181211, -122.392901049469)"
632932,Think is Good Inc.,Truck,147000,02ND ST: BRANNAN ST to TOWNSEND ST (600 - 699),625 02ND ST,3789007,3789,7,15MFF-0085,APPROVED,Sushi Burrito: Chicken Burrito: Tempura Burrito,6015195.702,2112613.963,37.78168898,-122.3910618,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0085&ExportPDF=1&Filename=15MFF-0085_schedule.pdf,,3/17/15 14:08,Mar 17 2015  2:04PM,0,3/15/16 0:00,"(37.7816889891243, -122.391061817277)"
631753,Steve's Mobile Deli,Truck,148000,02ND ST: TOWNSEND ST to KING ST (700 - 799),750 02ND ST,3794002A,3794,002A,15MFF-0064,APPROVED,Cold Truck: Pre-packaged sandwiches: Burgers: Hot Dogs: Muffin Sandwiches: Enchiladas: Bagels: Burritos: Salads: Snacks: Beverages,6015411.83,2111996.555,37.7800057,-122.390271,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0064&ExportPDF=1&Filename=15MFF-0064_schedule.pdf,,3/13/15 13:40,Mar 13 2015  1:36PM,1,3/15/16 0:00,"(37.7800057164663, -122.390270961301)"
626361,Tacos El Ojo De Agua,Truck,177000,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,25,15MFF-0027,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,6014157.282,2112255.562,37.78064721,-122.3946292,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0027&ExportPDF=1&Filename=15MFF-0027_schedule.pdf,,5/26/15 13:47,Mar  3 2015 11:09AM,0,3/15/16 0:00,"(37.7806472238285, -122.394629181652)"
629230,Got Snacks,Push Cart,184001,03RD ST: TERRY A FRANCOIS BLVD to CHANNEL (1000 - 1099),1020 03RD ST,8714002,8714,2,15MFF-0048,APPROVED,sunflower seeds: crackerjacks: bottled water: peanuts: candy,6015168.306,2110364.21,37.77551014,-122.3909993,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0048&ExportPDF=1&Filename=15MFF-0048_schedule.pdf,,3/11/15 8:41,Mar 11 2015  8:32AM,1,3/15/16 0:00,"(37.7755101518346, -122.390999305993)"
